id,description,name,type
0,Num. occurrences of '15th',15th,numeric
1,Num. occurrences of '1st',1st,numeric
2,Num. occurrences of '20th',20th,numeric
3,Num. occurrences of '2nd',2nd,numeric
4,Num. occurrences of '3d',3d,numeric
5,Num. occurrences of '3rd',3rd,numeric
6,Num. occurrences of '4th',4th,numeric
7,Num. occurrences of '5th',5th,numeric
8,Num. occurrences of '_digit_',_digit_,numeric
9,Num. occurrences of 'a4',a4,numeric
10,Num. occurrences of 'ab',ab,numeric
11,Num. occurrences of 'abil',abil,numeric
12,Num. occurrences of 'abl',abl,numeric
13,Num. occurrences of 'abov',abov,numeric
14,Num. occurrences of 'absolut',absolut,numeric
15,Num. occurrences of 'abstract',abstract,numeric
16,Num. occurrences of 'ac',ac,numeric
17,Num. occurrences of 'academ',academ,numeric
18,Num. occurrences of 'academi',academi,numeric
19,Num. occurrences of 'accent',accent,numeric
20,Num. occurrences of 'accept',accept,numeric
21,Num. occurrences of 'access',access,numeric
22,Num. occurrences of 'accommod',accommod,numeric
23,Num. occurrences of 'accomod',accomod,numeric
24,Num. occurrences of 'accompani',accompani,numeric
25,Num. occurrences of 'accord',accord,numeric
26,Num. occurrences of 'account',account,numeric
27,Num. occurrences of 'accur',accur,numeric
28,Num. occurrences of 'accus',accus,numeric
29,Num. occurrences of 'achiev',achiev,numeric
30,Num. occurrences of 'acknowledg',acknowledg,numeric
31,Num. occurrences of 'acl',acl,numeric
32,Num. occurrences of 'acoust',acoust,numeric
33,Num. occurrences of 'acquir',acquir,numeric
34,Num. occurrences of 'acquisit',acquisit,numeric
35,Num. occurrences of 'across',across,numeric
36,Num. occurrences of 'act',act,numeric
37,Num. occurrences of 'action',action,numeric
38,Num. occurrences of 'activ',activ,numeric
39,Num. occurrences of 'actual',actual,numeric
40,Num. occurrences of 'ad',ad,numeric
41,Num. occurrences of 'adam',adam,numeric
42,Num. occurrences of 'adapt',adapt,numeric
43,Num. occurrences of 'add',add,numeric
44,Num. occurrences of 'addit',addit,numeric
45,Num. occurrences of 'address',address,numeric
46,Num. occurrences of 'adject',adject,numeric
47,Num. occurrences of 'administr',administr,numeric
48,Num. occurrences of 'adopt',adopt,numeric
49,Num. occurrences of 'adult',adult,numeric
50,Num. occurrences of 'advanc',advanc,numeric
51,Num. occurrences of 'advantag',advantag,numeric
52,Num. occurrences of 'adverb',adverb,numeric
53,Num. occurrences of 'advertis',advertis,numeric
54,Num. occurrences of 'affect',affect,numeric
55,Num. occurrences of 'affili',affili,numeric
56,Num. occurrences of 'affix',affix,numeric
57,Num. occurrences of 'afford',afford,numeric
58,Num. occurrences of 'africa',africa,numeric
59,Num. occurrences of 'african',african,numeric
60,Num. occurrences of 'afternoon',afternoon,numeric
61,Num. occurrences of 'age',age,numeric
62,Num. occurrences of 'agenc',agenc,numeric
63,Num. occurrences of 'agent',agent,numeric
64,Num. occurrences of 'ago',ago,numeric
65,Num. occurrences of 'agre',agre,numeric
66,Num. occurrences of 'agreement',agreement,numeric
67,Num. occurrences of 'ai',ai,numeric
68,Num. occurrences of 'aid',aid,numeric
69,Num. occurrences of 'aim',aim,numeric
70,Num. occurrences of 'air',air,numeric
71,Num. occurrences of 'airport',airport,numeric
72,Num. occurrences of 'aisb',aisb,numeric
73,Num. occurrences of 'al',al,numeric
74,Num. occurrences of 'alan',alan,numeric
75,Num. occurrences of 'algorithm',algorithm,numeric
76,Num. occurrences of 'allow',allow,numeric
77,Num. occurrences of 'almost',almost,numeric
78,Num. occurrences of 'alon',alon,numeric
79,Num. occurrences of 'along',along,numeric
80,Num. occurrences of 'alreadi',alreadi,numeric
81,Num. occurrences of 'also',also,numeric
82,Num. occurrences of 'alter',alter,numeric
83,Num. occurrences of 'altern',altern,numeric
84,Num. occurrences of 'although',although,numeric
85,Num. occurrences of 'alway',alway,numeric
86,Num. occurrences of 'amaz',amaz,numeric
87,Num. occurrences of 'ambigu',ambigu,numeric
88,Num. occurrences of 'america',america,numeric
89,Num. occurrences of 'american',american,numeric
90,Num. occurrences of 'among',among,numeric
91,Num. occurrences of 'amount',amount,numeric
92,Num. occurrences of 'amsterdam',amsterdam,numeric
93,Num. occurrences of 'analog',analog,numeric
94,Num. occurrences of 'analys',analys,numeric
95,Num. occurrences of 'analysi',analysi,numeric
96,Num. occurrences of 'analyz',analyz,numeric
97,Num. occurrences of 'anaphor',anaphor,numeric
98,Num. occurrences of 'anaphora',anaphora,numeric
99,Num. occurrences of 'ancient',ancient,numeric
100,Num. occurrences of 'anderson',anderson,numeric
101,Num. occurrences of 'andrew',andrew,numeric
102,Num. occurrences of 'angel',angel,numeric
103,Num. occurrences of 'ani',ani,numeric
104,Num. occurrences of 'anim',anim,numeric
105,Num. occurrences of 'ann',ann,numeric
106,Num. occurrences of 'anna',anna,numeric
107,Num. occurrences of 'annot',annot,numeric
108,Num. occurrences of 'announc',announc,numeric
109,Num. occurrences of 'annual',annual,numeric
110,Num. occurrences of 'anonym',anonym,numeric
111,Num. occurrences of 'anoth',anoth,numeric
112,Num. occurrences of 'answer',answer,numeric
113,Num. occurrences of 'anthropolog',anthropolog,numeric
114,Num. occurrences of 'anu',anu,numeric
115,Num. occurrences of 'anybodi',anybodi,numeric
116,Num. occurrences of 'anyon',anyon,numeric
117,Num. occurrences of 'anyth',anyth,numeric
118,Num. occurrences of 'anywher',anywher,numeric
119,Num. occurrences of 'aol',aol,numeric
120,Num. occurrences of 'apolog',apolog,numeric
121,Num. occurrences of 'appar',appar,numeric
122,Num. occurrences of 'appear',appear,numeric
123,Num. occurrences of 'appli',appli,numeric
124,Num. occurrences of 'applic',applic,numeric
125,Num. occurrences of 'appoint',appoint,numeric
126,Num. occurrences of 'appreci',appreci,numeric
127,Num. occurrences of 'approach',approach,numeric
128,Num. occurrences of 'appropri',appropri,numeric
129,Num. occurrences of 'approx',approx,numeric
130,Num. occurrences of 'approxim',approxim,numeric
131,Num. occurrences of 'april',april,numeric
132,Num. occurrences of 'arab',arab,numeric
133,Num. occurrences of 'architectur',architectur,numeric
134,Num. occurrences of 'area',area,numeric
135,Num. occurrences of 'argu',argu,numeric
136,Num. occurrences of 'argument',argument,numeric
137,Num. occurrences of 'aris',aris,numeric
138,Num. occurrences of 'arizona',arizona,numeric
139,Num. occurrences of 'arnold',arnold,numeric
140,Num. occurrences of 'around',around,numeric
141,Num. occurrences of 'arrang',arrang,numeric
142,Num. occurrences of 'arriv',arriv,numeric
143,Num. occurrences of 'art',art,numeric
144,Num. occurrences of 'articl',articl,numeric
145,Num. occurrences of 'articul',articul,numeric
146,Num. occurrences of 'artifici',artifici,numeric
147,Num. occurrences of 'ascii',ascii,numeric
148,Num. occurrences of 'asia',asia,numeric
149,Num. occurrences of 'asian',asian,numeric
150,Num. occurrences of 'ask',ask,numeric
151,Num. occurrences of 'aspect',aspect,numeric
152,Num. occurrences of 'assess',assess,numeric
153,Num. occurrences of 'assign',assign,numeric
154,Num. occurrences of 'assist',assist,numeric
155,Num. occurrences of 'associ',associ,numeric
156,Num. occurrences of 'assum',assum,numeric
157,Num. occurrences of 'assumpt',assumpt,numeric
158,Num. occurrences of 'attach',attach,numeric
159,Num. occurrences of 'attempt',attempt,numeric
160,Num. occurrences of 'attend',attend,numeric
161,Num. occurrences of 'attent',attent,numeric
162,Num. occurrences of 'attitud',attitud,numeric
163,Num. occurrences of 'attract',attract,numeric
164,Num. occurrences of 'attribut',attribut,numeric
165,Num. occurrences of 'au',au,numeric
166,Num. occurrences of 'audienc',audienc,numeric
167,Num. occurrences of 'audio',audio,numeric
168,Num. occurrences of 'august',august,numeric
169,Num. occurrences of 'austin',austin,numeric
170,Num. occurrences of 'australia',australia,numeric
171,Num. occurrences of 'australian',australian,numeric
172,Num. occurrences of 'author',author,numeric
173,Num. occurrences of 'autom',autom,numeric
174,Num. occurrences of 'automat',automat,numeric
175,Num. occurrences of 'avail',avail,numeric
176,Num. occurrences of 'ave',ave,numeric
177,Num. occurrences of 'avenu',avenu,numeric
178,Num. occurrences of 'avoid',avoid,numeric
179,Num. occurrences of 'awar',awar,numeric
180,Num. occurrences of 'award',award,numeric
181,Num. occurrences of 'away',away,numeric
182,Num. occurrences of 'back',back,numeric
183,Num. occurrences of 'background',background,numeric
184,Num. occurrences of 'bad',bad,numeric
185,Num. occurrences of 'bank',bank,numeric
186,Num. occurrences of 'bar',bar,numeric
187,Num. occurrences of 'barbara',barbara,numeric
188,Num. occurrences of 'barcelona',barcelona,numeric
189,Num. occurrences of 'base',base,numeric
190,Num. occurrences of 'basi',basi,numeric
191,Num. occurrences of 'basic',basic,numeric
192,Num. occurrences of 'basqu',basqu,numeric
193,Num. occurrences of 'beach',beach,numeric
194,Num. occurrences of 'bear',bear,numeric
195,Num. occurrences of 'beauti',beauti,numeric
196,Num. occurrences of 'becaus',becaus,numeric
197,Num. occurrences of 'becom',becom,numeric
198,Num. occurrences of 'befor',befor,numeric
199,Num. occurrences of 'begin',begin,numeric
200,Num. occurrences of 'behavior',behavior,numeric
201,Num. occurrences of 'belgium',belgium,numeric
202,Num. occurrences of 'belief',belief,numeric
203,Num. occurrences of 'believ',believ,numeric
204,Num. occurrences of 'bell',bell,numeric
205,Num. occurrences of 'benefit',benefit,numeric
206,Num. occurrences of 'benjamin',benjamin,numeric
207,Num. occurrences of 'berkeley',berkeley,numeric
208,Num. occurrences of 'berlin',berlin,numeric
209,Num. occurrences of 'bernard',bernard,numeric
210,Num. occurrences of 'best',best,numeric
211,Num. occurrences of 'better',better,numeric
212,Num. occurrences of 'beyond',beyond,numeric
213,Num. occurrences of 'bibliographi',bibliographi,numeric
214,Num. occurrences of 'big',big,numeric
215,Num. occurrences of 'bilingu',bilingu,numeric
216,Num. occurrences of 'bill',bill,numeric
217,Num. occurrences of 'bind',bind,numeric
218,Num. occurrences of 'biolog',biolog,numeric
219,Num. occurrences of 'birmingham',birmingham,numeric
220,Num. occurrences of 'bit',bit,numeric
221,Num. occurrences of 'bitnet',bitnet,numeric
222,Num. occurrences of 'black',black,numeric
223,Num. occurrences of 'blackwel',blackwel,numeric
224,Num. occurrences of 'block',block,numeric
225,Num. occurrences of 'board',board,numeric
226,Num. occurrences of 'bodi',bodi,numeric
227,Num. occurrences of 'bonu',bonu,numeric
228,Num. occurrences of 'book',book,numeric
229,Num. occurrences of 'borrow',borrow,numeric
230,Num. occurrences of 'boston',boston,numeric
231,Num. occurrences of 'bottom',bottom,numeric
232,Num. occurrences of 'boundari',boundari,numeric
233,Num. occurrences of 'box',box,numeric
234,Num. occurrences of 'branch',branch,numeric
235,Num. occurrences of 'break',break,numeric
236,Num. occurrences of 'breakfast',breakfast,numeric
237,Num. occurrences of 'brian',brian,numeric
238,Num. occurrences of 'brief',brief,numeric
239,Num. occurrences of 'brighton',brighton,numeric
240,Num. occurrences of 'bring',bring,numeric
241,Num. occurrences of 'britain',britain,numeric
242,Num. occurrences of 'british',british,numeric
243,Num. occurrences of 'broad',broad,numeric
244,Num. occurrences of 'brought',brought,numeric
245,Num. occurrences of 'brown',brown,numeric
246,Num. occurrences of 'bruce',bruce,numeric
247,Num. occurrences of 'bu',bu,numeric
248,Num. occurrences of 'build',build,numeric
249,Num. occurrences of 'bulk',bulk,numeric
250,Num. occurrences of 'busi',busi,numeric
251,Num. occurrences of 'buy',buy,numeric
252,Num. occurrences of 'ca',ca,numeric
253,Num. occurrences of 'california',california,numeric
